key,BG,GR
collections/general/view_all,Виж всички,Δείτε όλα τα προϊόντα
collections/general/infinite_scroll_no_more,Не са намерени повече резултати,Δεν βρέθηκαν αποτελέσματα
collections/general/no_matches,За съжаление няма продукти в тази колекция,"Δυστυχώς, δεν βρέθηκαν προϊόντα σε αυτή τη συλλογή  "
collections/general/view,Разгледай,Ρίξτε μια ματιά
collections/general/product_count/one,{{ count }} продукт,{{ count }} προϊόν
collections/general/product_count/other,{{ count }} продукти,{{ count }} προϊόντα
collections/filtering/clear_all,Изчисти всичко,Διαγραφή όλων
collections/filtering/filter,Филтър,Φίλτρο
collections/filtering/all,Всичко,Όλα
collections/filtering/mobile_close,Затвори филтрите,Κλείσιμο φίλτρων 
collections/filtering/mobile_reveal,Покажи филтрите,Εμφάνιση φίλτρων
collections/filtering/show_results,Покажи [x] резултати,Εμφάνιση [x] αποτελεσμάτων
collections/filtering/show_results_singular,Покажи [x] резултат,Εμφάνιση [x] αποτελέσματος
collections/sorting/title,Сортирай,Διαλογή
collections/sorting/featured,Препоръчани,Σας προτείνουμε
collections/sorting/price_ascending,От ниска към висока цена,Αύξουσα τιμή
collections/sorting/price_descending,От висока към ниска цена,Φθίνουσα τιμή
collections/sorting/az,А-Я,Α-Ω
collections/sorting/za,Я-А,Ω-Α
collections/sorting/best_selling,Най-продавани,Τα πιο ευπώλητα
collections/sorting/date_descending,,
collections/sorting/date_ascending,,
blogs/general/view_all,Всички,Όλα 
blogs/general/no_matches,"Все още няма статии! След като напишете, ще се появи тук.","Ακόμα δεν έχουν προστεθεί άρθρα! Όταν αναρτήσετε το κείμενό σας, αυτό θα εμφανιστεί εδώ. "
blogs/comments/title,Коментар,Σχόλιο 
blogs/comments/success_moderated,,
blogs/comments/success,Вашият коментар беше публикуван успешно! Благодарим Ви!,Το σχόλιό σας δημοσιεύθηκε με επιτυχία! Σας ευχαριστούμε!
blogs/comments/author_meta_said,{{ author }} каза:,{{ author }} είπε:
blogs/comments/date_meta,{{ comment_date }},{{ comment_date }}
blogs/comments/form_title,Остави коментар,Γράψτε σχόλιο
blogs/comments/name,Име,Ονοματεπώνυμο 
blogs/comments/email,Имейл,Ηλεκτρονική διεύθυνση
blogs/comments/message,Коментар,Σχόλιο
blogs/comments/post,Публикувай коментар,Αναρτήστε το σχόλιό σας
blogs/article/back_to_blog_html,Върни се към {{ blog }},Επιστροφή στο {{ blog }}
blogs/article/older_post,По-стара публикация,Παλιότερη ανάρτηση
blogs/article/newer_post,По-нова публикация,Νεότερη ανάρτηση
blogs/article/read_more,Прочетете още,Διαβάστε ακόμα
blogs/filtering/filter_by,Сортирай по,Ταξινόμηση κατά 
blogs/filtering/all,Всички,Όλα
blogs/pagination/older_articles,По-стари статии,Παλιότερα άρθρα 
